,Oil,Oil,NZD/USD,NZD/USD,10-Yr Rate,10-Yr Rate,AIR.NZ,AIR.NZ
,PCT Change %,Factor,PCT Change %,Factor,PCT Change %,Factor,PCT Change %,Factor
2016-06-14,,BZ=F,-0.099,NZDUSD=X,-0.309,^TNX,-4.368,AIR.NZ
2016-06-15,-1.726,BZ=F,-0.811,NZDUSD=X,-0.931,^TNX,1.923,AIR.NZ
2016-06-16,-3.635,BZ=F,1.317,NZDUSD=X,-2.005,^TNX,0.943,AIR.NZ
2016-06-17,4.196,BZ=F,-0.233,NZDUSD=X,3.453,^TNX,-3.271,AIR.NZ
2016-06-20,3.01,BZ=F,0.376,NZDUSD=X,3.214,^TNX,0.966,AIR.NZ
2016-06-21,-0.059,BZ=F,0.391,NZDUSD=X,1.617,^TNX,0.0,AIR.NZ
2016-06-22,-1.462,BZ=F,0.214,NZDUSD=X,-0.707,^TNX,-0.478,AIR.NZ
2016-06-23,2.065,BZ=F,0.415,NZDUSD=X,3.205,^TNX,1.923,AIR.NZ
2016-06-24,-4.911,BZ=F,0.533,NZDUSD=X,-9.201,^TNX,-1.887,AIR.NZ
2016-06-27,-2.582,BZ=F,-1.469,NZDUSD=X,-7.536,^TNX,-2.644,AIR.NZ
2016-06-28,3.011,BZ=F,-1.102,NZDUSD=X,0.068,^TNX,1.235,AIR.NZ
2016-06-29,4.179,BZ=F,0.885,NZDUSD=X,1.095,^TNX,0.0,AIR.NZ
2016-06-30,-1.838,BZ=F,0.648,NZDUSD=X,0.745,^TNX,2.195,AIR.NZ
2016-07-01,0.322,BZ=F,0.171,NZDUSD=X,-2.151,^TNX,-0.239,AIR.NZ
2016-07-05,-3.772,BZ=F,0.527,NZDUSD=X,-6.113,^TNX,1.896,AIR.NZ
2016-07-06,1.751,BZ=F,-1.134,NZDUSD=X,1.317,^TNX,0.698,AIR.NZ
2016-07-07,-4.918,BZ=F,0.029,NZDUSD=X,0.144,^TNX,-1.155,AIR.NZ
2016-07-08,0.776,BZ=F,1.411,NZDUSD=X,-1.514,^TNX,0.234,AIR.NZ
2016-07-11,-1.091,BZ=F,0.883,NZDUSD=X,4.978,^TNX,0.233,AIR.NZ
2016-07-12,4.8,BZ=F,-0.94,NZDUSD=X,5.509,^TNX,0.465,AIR.NZ
2016-07-13,-4.56,BZ=F,0.875,NZDUSD=X,-2.974,^TNX,0.694,AIR.NZ
2016-07-14,2.399,BZ=F,-0.428,NZDUSD=X,4.292,^TNX,2.529,AIR.NZ
2016-07-15,0.507,BZ=F,-1.368,NZDUSD=X,4.115,^TNX,1.121,AIR.NZ
2016-07-18,-1.365,BZ=F,-1.231,NZDUSD=X,-0.439,^TNX,0.444,AIR.NZ
2016-07-19,-0.639,BZ=F,-0.507,NZDUSD=X,-1.827,^TNX,-1.545,AIR.NZ
2016-07-20,1.093,BZ=F,0.127,NZDUSD=X,1.412,^TNX,-2.242,AIR.NZ
2016-07-21,-2.056,BZ=F,-1.149,NZDUSD=X,-0.949,^TNX,-0.459,AIR.NZ
2016-07-22,-1.104,BZ=F,0.589,NZDUSD=X,0.319,^TNX,-0.922,AIR.NZ
2016-07-25,-2.123,BZ=F,0.042,NZDUSD=X,0.064,^TNX,0.0,AIR.NZ
2016-07-26,0.335,BZ=F,-0.175,NZDUSD=X,-0.509,^TNX,1.163,AIR.NZ
2016-07-27,-3.12,BZ=F,0.989,NZDUSD=X,-3.071,^TNX,-0.69,AIR.NZ
2016-07-28,-1.771,BZ=F,0.383,NZDUSD=X,-0.264,^TNX,1.389,AIR.NZ
2016-07-29,-0.562,BZ=F,-0.057,NZDUSD=X,-3.508,^TNX,0.913,AIR.NZ
2016-08-01,-0.024,BZ=F,1.402,NZDUSD=X,2.606,^TNX,2.263,AIR.NZ
2016-08-02,-1.531,BZ=F,-0.23,NZDUSD=X,2.741,^TNX,3.097,AIR.NZ
2016-08-03,3.11,BZ=F,0.505,NZDUSD=X,0.325,^TNX,-1.073,AIR.NZ
2016-08-04,2.761,BZ=F,-0.737,NZDUSD=X,-2.529,^TNX,-1.302,AIR.NZ
2016-08-05,-0.045,BZ=F,0.337,NZDUSD=X,5.256,^TNX,0.22,AIR.NZ
2016-08-08,2.53,BZ=F,-0.861,NZDUSD=X,0.063,^TNX,0.219,AIR.NZ
2016-08-09,-0.903,BZ=F,0.386,NZDUSD=X,-2.401,^TNX,-0.656,AIR.NZ
2016-08-10,-2.068,BZ=F,0.251,NZDUSD=X,-2.33,^TNX,-1.982,AIR.NZ
2016-08-11,4.518,BZ=F,1.75,NZDUSD=X,4.241,^TNX,0.225,AIR.NZ
2016-08-12,2.02,BZ=F,-1.067,NZDUSD=X,-3.687,^TNX,-1.345,AIR.NZ
2016-08-15,2.938,BZ=F,-0.266,NZDUSD=X,2.508,^TNX,-0.909,AIR.NZ
2016-08-16,1.82,BZ=F,0.332,NZDUSD=X,1.481,^TNX,0.459,AIR.NZ
2016-08-17,1.259,BZ=F,1.006,NZDUSD=X,-0.952,^TNX,0.457,AIR.NZ
2016-08-18,2.086,BZ=F,-0.276,NZDUSD=X,-1.602,^TNX,2.273,AIR.NZ
2016-08-19,-0.02,BZ=F,0.197,NZDUSD=X,2.734,^TNX,-1.111,AIR.NZ
2016-08-22,-3.381,BZ=F,-0.464,NZDUSD=X,-2.471,^TNX,0.225,AIR.NZ
2016-08-23,1.627,BZ=F,0.488,NZDUSD=X,0.91,^TNX,-0.448,AIR.NZ
2016-08-24,-1.821,BZ=F,-0.116,NZDUSD=X,0.386,^TNX,0.0,AIR.NZ
2016-08-25,1.264,BZ=F,0.571,NZDUSD=X,1.155,^TNX,0.45,AIR.NZ
2016-08-26,0.503,BZ=F,-0.212,NZDUSD=X,3.678,^TNX,-0.448,AIR.NZ
2016-08-29,-1.322,BZ=F,-1.048,NZDUSD=X,-4.22,^TNX,2.477,AIR.NZ
2016-08-30,-1.807,BZ=F,0.486,NZDUSD=X,0.255,^TNX,-0.22,AIR.NZ
2016-08-31,-2.75,BZ=F,-0.275,NZDUSD=X,-0.127,^TNX,-0.44,AIR.NZ
2016-09-01,0.021,BZ=F,0.065,NZDUSD=X,0.128,^TNX,0.0,AIR.NZ
2016-09-02,-0.468,BZ=F,0.664,NZDUSD=X,1.656,^TNX,0.664,AIR.NZ
2016-09-06,0.918,BZ=F,0.205,NZDUSD=X,-3.321,^TNX,1.489,AIR.NZ
2016-09-07,1.523,BZ=F,1.522,NZDUSD=X,-0.13,^TNX,1.048,AIR.NZ
2016-09-08,4.189,BZ=F,0.395,NZDUSD=X,4.867,^TNX,-0.0,AIR.NZ
2016-09-09,-3.961,BZ=F,-0.615,NZDUSD=X,3.465,^TNX,-0.728,AIR.NZ
2016-09-12,0.646,BZ=F,-0.939,NZDUSD=X,0.0,^TNX,-5.379,AIR.NZ
2016-09-13,-2.525,BZ=F,0.376,NZDUSD=X,3.708,^TNX,2.584,AIR.NZ
2016-09-14,-2.654,BZ=F,-1.53,NZDUSD=X,-2.595,^TNX,-2.519,AIR.NZ
2016-09-15,1.614,BZ=F,0.291,NZDUSD=X,0.829,^TNX,-0.258,AIR.NZ
2016-09-16,-1.76,BZ=F,0.696,NZDUSD=X,-0.117,^TNX,0.518,AIR.NZ
2016-09-19,0.393,BZ=F,-0.655,NZDUSD=X,-0.294,^TNX,0.516,AIR.NZ
2016-09-20,-0.152,BZ=F,0.409,NZDUSD=X,-0.472,^TNX,0.256,AIR.NZ
2016-09-21,2.071,BZ=F,0.249,NZDUSD=X,-1.185,^TNX,-3.325,AIR.NZ
2016-09-22,1.751,BZ=F,0.316,NZDUSD=X,-2.158,^TNX,-0.794,AIR.NZ
2016-09-23,-3.694,BZ=F,-0.439,NZDUSD=X,-1.042,^TNX,-2.933,AIR.NZ
2016-09-26,3.182,BZ=F,-1.071,NZDUSD=X,-1.61,^TNX,-1.099,AIR.NZ
2016-09-27,-2.914,BZ=F,0.568,NZDUSD=X,-2.077,^TNX,2.778,AIR.NZ
2016-09-28,5.917,BZ=F,0.277,NZDUSD=X,0.707,^TNX,1.351,AIR.NZ
2016-09-29,1.13,BZ=F,-0.146,NZDUSD=X,-0.638,^TNX,-0.8,AIR.NZ
2016-09-30,-0.366,BZ=F,-0.551,NZDUSD=X,3.276,^TNX,0.0,AIR.NZ
2016-10-03,0.082,BZ=F,0.276,NZDUSD=X,0.871,^TNX,-2.151,AIR.NZ
2016-10-04,3.605,BZ=F,0.431,NZDUSD=X,3.761,^TNX,-1.648,AIR.NZ
2016-10-05,1.946,BZ=F,-1.495,NZDUSD=X,1.961,^TNX,0.279,AIR.NZ
2016-10-06,1.253,BZ=F,-0.215,NZDUSD=X,1.515,^TNX,-1.393,AIR.NZ
2016-10-07,-1.105,BZ=F,-0.122,NZDUSD=X,-0.344,^TNX,0.0,AIR.NZ
2016-10-11,0.924,BZ=F,-0.606,NZDUSD=X,2.089,^TNX,-0.562,AIR.NZ
2016-10-12,-1.145,BZ=F,-0.63,NZDUSD=X,1.08,^TNX,1.695,AIR.NZ
2016-10-13,0.425,BZ=F,-0.5,NZDUSD=X,-2.25,^TNX,-4.722,AIR.NZ
2016-10-14,-0.154,BZ=F,0.546,NZDUSD=X,3.222,^TNX,1.749,AIR.NZ
2016-10-17,-0.828,BZ=F,0.05,NZDUSD=X,-1.561,^TNX,0.573,AIR.NZ
2016-10-18,0.311,BZ=F,1.184,NZDUSD=X,-0.963,^TNX,2.564,AIR.NZ
2016-10-19,1.916,BZ=F,0.447,NZDUSD=X,0.172,^TNX,0.833,AIR.NZ
2016-10-20,-2.449,BZ=F,0.362,NZDUSD=X,-0.285,^TNX,-0.551,AIR.NZ
